鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
豐原區,房地(土地+建物)+車位,臺中市豐原區中正路737巷31~60號,52.6,住,,,1081214,土地2建物1車位2,十二層，見其他登記事項,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060414,262.11,3,3,2,有,有,15000000,64564,坡道平面,74.7,2900000,,RPWNMLLLJHPFFDB18CA
豐原區,土地,萬年段361~390地號,142.23,其他,,,1081217,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,864030,6075,,0.0,0,包含公共設施保留地之交易。;,RPSNMLMLJHPFFDB87CA
豐原區,土地,萬年段361~390地號,19.74,其他,,,1081227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,141339,7160,,0.0,0,包含公共設施保留地之交易。;,RPTNMLMLJHPFFDB97CA
豐原區,房地(土地+建物),臺中市豐原區三豐路二段138巷1~30號,68.46,住,,,1081121,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0731030,68.53,2,1,2,有,無,4000000,58369,,0.0,0,二等親間買賣,RPWNMLMLJHPFFDB28CA
神岡區,土地,三角西段991~1020地號,425.33,農,,,1081008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16726102,39325,,0.0,0,,RPWPMLLLJHPFFDB38CA
后里區,房地(土地+建物),臺中市后里區舊社路1~30號,82.95,住,,,1081121,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060629,176.55,5,2,3,有,無,11780000,66723,,0.0,0,,RPUOMLMLJHPFFDB18CA
神岡區,房地(土地+建物),臺中市神岡區豐洲路456巷25弄1~30號,98.94,住,,,1081219,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0941121,189.31,4,3,3,有,無,12000000,63388,,0.0,0,,RPVNMLRJKHPFFDB58CA
外埔區,房地(土地+建物),臺中市外埔區長生路31~60號,101.03,,鄉村區,乙種建築用地,1081223,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850821,189.05,6,1,3,有,無,3500000,18514,,0.0,0,"土地增值稅新台幣16,610元整由權利人負擔；且移轉時，義務人提供自用住宅優惠稅率申報土地增值稅。",RPPNMLOKJHPFFEB77CA
大甲區,房地(土地+建物),臺中市大甲區青二路5巷1~30號,83.0,,工業區,丁種建築用地,1081216,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680923,99.18,8,0,8,有,無,7500000,75620,,0.0,0,含增建或未登記建物。;,RPSNMLOKJHPFFEB08CA
大甲區,土地,和平段391~420地號,107.0,住,,,1081221,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8800000,82243,,0.0,0,含未登記建物鐵皮屋一棟，無償隨土地買賣移轉。,RPSNMLOJKHPFFEB08CA
沙鹿區,房地(土地+建物),臺中市沙鹿區福幼街157巷1~30號,38.07,住,,,1081219,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960605,78.72,4,0,4,有,有,4200000,53354,,0.0,0,,RPRSMLNKJHPFFFB48CA
沙鹿區,土地,成衣段1861~1890地號,362.33,住,,,1081217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17098000,47189,,0.0,0,,RPVOMLOKJHPFFFB58CA
沙鹿區,土地,保成段841~870地號,528.56,住,,,1081202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22270000,42133,,0.0,0,,RPWOMLOKJHPFFFB68CA
清水區,土地,海濱段931~960地號,76.0,住,,,1081223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1839200,24200,,0.0,0,,RPQPMLOKJHPFFFB18CA
沙鹿區,土地,中清段661~690地號,4926.82,農,,,1080917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104320000,21174,,0.0,0,,RPSPMLOKJHPFFFB38CA
清水區,房地(土地+建物),臺中市清水區?i榔里3鄰中央路41巷1~30號,95.0,住,,,1081216,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080604,221.51,3,2,3,有,無,11380000,51375,,0.0,0,,RPQNMLPKJHPFFFB08CA
清水區,房地(土地+建物),臺中市清水區南社里28鄰忠孝二街86巷1~30號,107.0,住,,,1081227,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080603,242.53,3,2,3,有,無,13300000,54839,,0.0,0,,RPRNMLPKJHPFFFB18CA
沙鹿區,房地(土地+建物),臺中市沙鹿區自強路545巷35弄1~30號,85.31,住,,,1081116,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050604,154.62,4,2,4,有,有,9350000,60471,,0.0,0,,RPQPMLPKJHPFFFB28CA
沙鹿區,土地,鹿寮段1141~1170地號,1260.0,住,,,1080816,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,61880000,49111,,0.0,0,,RPVOMLLLJHPFFFB38CA
沙鹿區,土地,文光段961~990地號,3184.22,住,,,1081016,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,131319156,41241,,0.0,0,"包含公共設施保留地之交易。;公設52298 坪/元   建地150000坪/元             地政士僅受託買賣案件申請登記,並未代理撰擬不動產買賣契約書,本成交資訊系由權利人自行提供屬實",RPRNMLKMJHPFFFB87CA
沙鹿區,土地,文光段961~990地號,7023.19,住,,,1081016,土地18建物0車位0,,,其他,,,,0.0,0,0,0,有,無,290591537,41376,,0.0,0,"包含公共設施保留地之交易。;公設52298 坪/元 建地150000坪/元 地政士僅受託買賣案件申請登記,並未代理撰擬不動產買賣契約書,本成交資訊系由權利人自行提供屬實",RPSNMLKMJHPFFFB97CA
沙鹿區,土地,鹿寮段1051~1080地號,609.0,住,,,1081217,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27408000,45005,,0.0,0,瑕疵物件之交易。;裡地形態,RPOPMLQJKHPFFFB18CA
沙鹿區,土地,紅竹段751~780地號,55.18,住,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,16310,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLRJKHPFFFB58CA
清水區,土地,銀聯段91~120地號,134.0,住,,,1081216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2184200,16300,,0.0,0,二等親之間增值稅自用住宅稅率移轉,RPUNMLRJKHPFFFB68CA
清水區,土地,銀聯段91~120地號,134.0,住,,,1081216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2184200,16300,,0.0,0,二等親之間增值稅自用住宅稅率移轉,RPVNMLRJKHPFFFB78CA
和平區,土地,梨山段601~630地號,2522.0,,山坡地保育區,農牧用地,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,278,,0.0,0,,RPTOMLPKJHPFFGB58CA
新社區,土地,國校段61~90地號,169.92,住,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,8828,,0.0,0,,RPRNMLQKJHPFFGB38CA
潭子區,房地(土地+建物),臺中市潭子區福潭路313巷1~30號,27.03,住,,,1081212,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850110,141.35,4,2,2,有,有,6300000,44570,,0.0,0,,RPVOMLQKJHPFFHB98CA
大雅區,土地,三和段1051~1080地號,3290.0,農,,,1080912,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,123800000,37629,,0.0,0,,RPUOMLOKJHPFFHB68CA
潭子區,土地,祥和段631~660地號,150.22,其他,,,1081202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4025896,26800,,0.0,0,包含公共設施保留地之交易。;本案係屬於協議價購案件,RPRNMLPKJHPFFHB38CA
潭子區,房地(土地+建物),臺中市潭子區大新路75巷1~30號,14.28,住,,,1081215,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821210,91.95,2,1,2,有,無,3600000,39152,,0.0,0,,RPOOMLKLJHPFFHB77CA
大雅區,房地(土地+建物)+車位,臺中市大雅區學府路467巷1~30號,24.33,住,,,1081218,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041209,143.38,2,2,2,有,有,8330000,58097,坡道平面,40.91,0,含增建或未登記建物。;,RPTNMLMLJHPFFHB38CA
大雅區,房地(土地+建物),臺中市大雅區樹德街86巷1~30號,75.66,住,,,1070324,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080731,152.91,5,2,3,有,有,11880000,77693,,0.0,0,包含公共設施保留地之交易。;,RPSNMLKKKHPFFHB08CA
大雅區,房地(土地+建物),臺中市大雅區樹德街86巷31~60號,90.06,住,,,1071122,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080731,196.18,5,2,3,有,有,13500000,68814,,0.0,0,包含公共設施保留地之交易。;,RPTNMLKKKHPFFHB18CA
潭子區,車位,臺中市潭子區福潭路313巷1~30號,0.0,,,,1081113,土地0建物0車位1,地下層,十層,其他,商業用,鋼筋混凝土造,0850110,20.57,0,0,0,有,有,1500000,,坡道平面,20.57,1500000,,RPWNMLKKKHPFFHB48CA
烏日區,土地,九如段211~240地號,1122.51,住,,,1081111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55550000,49487,,0.0,0,,RPVOMLOKJHPFFIB88CA
大里區,房地(土地+建物),臺中市大里區益民路一段121~150號,78.62,住,,,1081217,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0681105,160.97,5,3,3,有,無,9000000,55911,,0.0,0,,RPXOMLOKJHPFFIB09CA
霧峰區,房地(土地+建物),臺中市霧峰區四德北路103巷1~30號,376.83,,鄉村區,乙種建築用地,1081205,土地1建物1車位0,一層，二層,二層,農舍,農舍,加強磚造,0700813,166.5,3,2,2,有,無,11000000,,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPQMLPKJHPFFIB58CA
大里區,房地(土地+建物),臺中市大里區永大街181~210號,80.6,住,,,1080722,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940729,236.07,3,2,4,有,無,20900000,88533,,0.0,0,含增建或未登記建物。;,RPQQMLPKJHPFFIB68CA
大里區,房地(土地+建物)+車位,臺中市大里區中興路二段631~660號,24.57,住,,,1081212,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711030,85.50999999999999,2,1,1,有,無,3000000,35080,一樓平面,0.0,0,,RPWNMLRKJHPFFIB56CA
大里區,房地(土地+建物),臺中市大里區中興路二段631~660號,15.12,住,,,1081212,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711030,52.449999999999996,0,1,0,有,無,1250000,23828,,0.0,0,,SPWNMLRKJHPFFIB66CA
烏日區,土地,九如段241~270地號,1321.81,其他,,,1080906,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,63176300,47795,,0.0,0,包含公共設施保留地之交易。;,RPTNMLRKJHPFFIB88CA
霧峰區,土地,峰南段1231~1260地號,149.0,商,,,1081118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3350800,22489,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSPMLKLJHPFFIB38CA
烏日區,房地(土地+建物),臺中市烏日區長春街181~210號,60.05,住,,,1081206,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0681130,100.8,5,3,2,有,無,12200000,121032,,0.0,0,含增建或未登記建物。;,RPUPMLLLJHPFFIB68CA
大里區,房地(土地+建物),臺中市大里區新明路1~30號,9.18,商,,,1081221,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810909,108.99000000000001,3,2,2,有,無,4500000,41288,,0.0,0,含增建或未登記建物。;,RPPQMLLLJHPFFIB28CA
大里區,土地,大峰段541~570地號,16.97,住,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1539000,90689,,0.0,0,,RPVNMLKMJHPFFIB58CA
大里區,房地(土地+建物),臺中市大里區益民路一段112巷1~30號,70.96,住,,,1081020,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0771105,128.27,5,2,3,有,無,11000000,85757,,0.0,0,,RPUNMLOJKHPFFIB68CA
大里區,土地,中興段121~150地號,1023.0,住,,,1081029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,89892600,87872,,0.0,0,本案道路用地價格92600元,RPXNMLRJKHPFFIB66CA
烏日區,土地,信義段481~510地號,92.56,其他,,,1090103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3446930,37240,,0.0,0,包含公共設施保留地之交易。;,RPOOMLKKKHPFFIB87CA
太平區,土地,麗園段661~690地號,147.41,,鄉村區,乙種建築用地,1080615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,37311,,0.0,0,,RPPOMLOKJHPFFJB38CA
太平區,房地(土地+建物),臺中市太平區立智街31~60號,209.25,住,,,1081122,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0651218,113.85,2,2,2,有,無,21730000,190865,,0.0,0,,RPQSMLOKJHPFFJB88CA
太平區,房地(土地+建物),臺中市太平區坪林路31~60號,126.29,,鄉村區,乙種建築用地,1090105,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680320,108.9,5,2,3,有,無,8660000,79522,,0.0,0,含增建或未登記建物。;,RPUSMLOKJHPFFJB66CA
太平區,土地,福星段601~630地號,17.58,其他,,,1081122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325757,18530,,0.0,0,公共設施保留地之交易。,RPVSMLOKJHPFFJB76CA
太平區,土地,福星段601~630地號,10.4,其他,,,1081122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,192712,18530,,0.0,0,公共設施保留地之交易。,RPWSMLOKJHPFFJB86CA
太平區,房地(土地+建物),臺中市太平區長億北街91~120號,93.4,住,,,1081213,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950714,197.52,4,1,4,有,無,2474080,12526,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUSMLPKJHPFFJB76CA
太平區,房地(土地+建物)+車位,臺中市太平區太平二十二街15巷1~30號,83.65,住,,,1081218,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0840710,205.14,4,3,3,有,有,10000000,48747,坡道平面,0.0,0,,RPWNMLRKJHPFFJB66CA
太平區,房地(土地+建物),臺中市太平區中山路二段541巷1~30號,68.53,,鄉村區,乙種建築用地,1081204,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0860203,153.9,4,2,3,有,無,8500000,55231,,0.0,0,含增建或未登記建物。;,RPRNMLKLJHPFFJB18CA
太平區,房地(土地+建物),臺中市太平區中山路二段32巷61~90號,154.44,,鄉村區,乙種建築用地,1081219,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680520,83.02,0,2,1,有,無,10000000,120453,,0.0,0,含增建或未登記建物。;,RPRNMLLMJHPFFJB38CA
龍井區,房地(土地+建物),臺中市龍井區龍社一街1~30號,87.0,住,,,1081212,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1011119,193.36,4,2,4,有,無,12300000,63612,,0.0,0,含增建或未登記建物。;,RPSNMLOKJHPFFKB68CA
大肚區,房地(土地+建物),臺中市大肚區沙田路二段132巷2弄1~30號,103.2,,鄉村區,乙種建築用地,1081206,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691229,98.37,4,2,2,有,無,3820000,38833,,0.0,0,含增建或未登記建物。;,RPVNMLPKJHPFFKB09CA
大肚區,房地(土地+建物),臺中市大肚區遊園路一段150巷121~150號,35.17,,鄉村區,乙種建築用地,1081222,土地1建物1車位0,三層，電梯樓梯間,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700730,72.94,2,2,1,有,無,2750000,37702,,0.0,0,,RPVNMLRKJHPFFKB66CA
龍井區,房地(土地+建物),臺中市龍井區沙田路四段121~150號,74.0,住,,,1090101,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0910528,250.46,4,3,4,有,無,6900000,27549,,0.0,0,"土地增值稅＄19,109由買方負擔",RPPNMLKLJHPFFKB08CA
大肚區,房地(土地+建物),臺中市大肚區沙田路二段132巷5弄31~60號,159.71,,鄉村區,乙種建築用地,1081218,土地1建物1車位0,一層,一層,其他,住家用,加強磚造,0691229,61.75,3,1,1,有,無,3000000,48583,,0.0,0,含增建或未登記建物。;建物型態為平房,RPWNMLKLJHPFFKB78CA
龍井區,房地(土地+建物),臺中市龍井區新興路20巷1~30號,165.76,,鄉村區,乙種建築用地,1081030,土地1建物1車位0,一層，二層，三層，四層，五層，見其他登記事項,五層,其他,見其他登記事項,鋼筋混凝土造,1040720,407.4,39,0,39,有,無,30000000,73638,,0.0,0,全棟套房。,RPRNMLMLJHPFFKB48CA
龍井區,土地,三德段1291~1320地號,58.67,住,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,35793,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPWNMLMLJHPFFKB98CA
龍井區,房地(土地+建物),臺中市龍井區舊車路76巷1~30號,101.08,住,,,1081216,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081025,185.78,5,2,3,有,無,9600000,51674,,0.0,0,,RPPNMLRJKHPFFKB68CA
龍井區,房地(土地+建物),臺中市龍井區舊車路76巷1~30號,97.08,住,,,1081216,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081025,184.36,5,2,3,有,無,9600000,52072,,0.0,0,,RPQNMLRJKHPFFKB78CA
沙鹿區,土地,鹿寮段931~960地號,128.69,住,,,1081127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5060900,39326,,0.0,0,,RPVNMLOKJHPFFFB58DA
清水區,土地,武秀段151~180地號,37.0,住,,,1081224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,935000,25270,,0.0,0,向政府機關承購之案件。;,RPOPMLOKJHPFFFB08DA
沙鹿區,土地,六路段1621~1650地號,15.46,住,,,1090103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,468000,30272,,0.0,0,,RPQOMLQKJHPFFFB38DA
新社區,土地,月湖段781~810地號,795.61,,一般農業區,農牧用地,1081217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,4273,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLQKJHPFFGB68DA
大安區,土地,安劃段661~690地號,18.0,,鄉村區,乙種建築用地,1081221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,4444,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLOKJHPFFEB97DA
大安區,房地(土地+建物),臺中市大安區東西四路二段181~210號,90.0,,特定農業區,甲種建築用地,1081224,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0840816,162.81,5,2,3,有,無,1050000,6449,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLKLJHPFFEB87DA
烏日區,土地,溪南西段241~270地號,18.83,,特定農業區,甲種建築用地,1090105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,284850,15127,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLPKJHPFFIB98DA
南區,房地(土地+建物)+車位,臺中市南區五權南一路31~60號,25.61,住,,,1081031,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010528,229.26,3,2,3,有,有,11100000,48417,坡道平面,29.83,0,,RPWOMLKMJHPFFAB18EA
大里區,房地(土地+建物),臺中市大里區瑞城一街31~60號,90.34,住,,,1081219,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0790325,301.91,4,4,4,有,無,10000000,33122,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLKLJHPFFIB38DA
烏日區,土地,九德段991~1020地號,6.49,住,,,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,370384,57070,,0.0,0,向政府機關承購之案件。;,RPTOMLPKJHPFFIB88DA
龍井區,房地(土地+建物),臺中市龍井區新興路31~60號,26.43,,鄉村區,乙種建築用地,1081218,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780710,90.58,4,0,4,有,無,5000000,55200,,0.0,0,,RPPNMLPKJHPFFKB58DA
龍井區,房地(土地+建物),臺中市龍井區新興路31~60號,56.22,,鄉村區,乙種建築用地,1081218,土地1建物1車位0,一層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0780710,192.68,8,0,8,有,無,6600000,34254,,0.0,0,,RPQNMLPKJHPFFKB68DA
龍井區,土地,龍目井段水師寮小段91~120地號,67.17,住,,,1080824,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1219020,18148,,0.0,0,親友、員工或其他特殊關係間之交易。;親友殊關係間之交易。,RPPNMLTKJHPFFKB98DA
龍井區,土地,竹泉段511~540地號,92.0,住,,,1081220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,23913,,0.0,0,親友、員工或其他特殊關係間之交易。;一親等間交易,RPSNMLNJKHPFFKB68DA
西區,房地(土地+建物)+車位,臺中市西區華美街480巷1~30號,6.64,商,,,1081230,土地1建物1車位1,八層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0980804,68.78,1,1,1,有,有,6000000,88710,坡道機械,6.78,500000,,RPVOMLLMJHPFFAB08DA
龍井區,房地(土地+建物),臺中市龍井區臨港東路一段15巷286弄1~30號,124.55,住,,,1081214,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080628,228.42,5,2,5,有,無,9380000,41065,,0.0,0,,RPQNMLMLJHPFFKB38CA
大肚區,土地,追分段31~60地號,400.0,其他,,,1081231,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,2500,,0.0,0,,RPPNMLQKJHPFFKB58CA
龍井區,房地(土地+建物),臺中市龍井區中山中路二段126巷1~30號,100.1,住,,,1081222,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060801,171.44,5,2,3,有,無,8300000,48413,,0.0,0,,RPQNMLQKJHPFFKB68CA
龍井區,土地,東海段961~990地號,7989.65,住,,,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,831770000,104106,,0.0,0,,RPQNMLRKJHPFFKB78CA
龍井區,土地,東海段961~990地號,4288.19,住,,,1081029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39880000,9300,,0.0,0,,RPRNMLRKJHPFFKB88CA
龍井區,土地,東海段961~990地號,7.32,其他,,,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,68000,9290,,0.0,0,包含公共設施保留地之交易。;,RPSNMLRKJHPFFKB98CA
龍井區,房地(土地+建物),臺中市龍井區藝術街16巷8弄1~30號,13.85,住,,,1090103,土地1建物1車位0,三層，電梯樓梯間,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690509,28.01,1,0,1,有,無,930000,33202,,0.0,0,,RPRNMLPKJHPFFKB68CA
大肚區,房地(土地+建物),臺中市大肚區育英路31~60號,93.32,住,,,1090104,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0820518,270.24,4,1,4,有,無,12000000,44405,,0.0,0,含增建或未登記建物。;,RPSNMLPKJHPFFKB78CA
龍井區,房地(土地+建物)+車位,臺中市龍井區龍山街116巷1~30號,23.33,住,,,1081129,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840310,138.02,4,2,2,有,有,4380000,31735,坡道機械,0.0,0,,RPTNMLPKJHPFFKB88CA
太平區,房地(土地+建物),臺中市太平區德明路400巷31~60號,74.02,,鄉村區,乙種建築用地,1081207,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0930921,124.66,3,2,2,有,有,4200000,33692,,0.0,0,,RPQPMLLLJHPFFJB38CA
太平區,房地(土地+建物)+車位,臺中市太平區永安街1~30號,39.39,住,,,1081216,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0811231,142.04,3,2,2,有,有,3900000,27457,坡道平面,31.77,0,,RPPNMLNJKHPFFJB18CA
太平區,房地(土地+建物),臺中市太平區德安街42巷1~30號,91.15,,鄉村區,乙種建築用地,1081226,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680716,73.2,2,3,1,有,無,4200000,57377,,0.0,0,含增建或未登記建物。;,RPVNMLRJKHPFFJB56CA
太平區,房地(土地+建物),臺中市太平區中山路一段181巷1~30號,7.31,,鄉村區,乙種建築用地,1081218,土地1建物1車位0,四層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840324,23.25,1,1,1,有,有,1150000,49462,,0.0,0,,RPWNMLRJKHPFFJB66CA
太平區,房地(土地+建物),臺中市太平區新民路31~60號,27.3,住,,,1081213,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0740205,95.76,3,2,2,有,無,2800000,29240,,0.0,0,,RPTUMLPKJHPFFJB86CA
太平區,土地,永豐段811~840地號,308.39,其他,,,1090110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19499808,63231,,0.0,0,包含公共設施保留地之交易。;本案係屬於協議價購案件,RPWNMLQKJHPFFJB56CA
太平區,土地,振福段391~420地號,432.05,其他,,,1090103,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6582030,15234,,0.0,0,包含公共設施保留地之交易。;,RPROMLQKJHPFFJB78CA
太平區,土地,福星段601~630地號,10.5,其他,,,1081122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,194565,18530,,0.0,0,公共設施保留地之交易。,RPQNMLRKJHPFFJB68CA
太平區,房地(土地+建物),臺中市太平區新高路10巷1~30號,22.16,住,,,1090101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0631203,31.33,4,2,2,有,無,650000,20747,,0.0,0,,RPSPMLPKJHPFFJB88CA
太平區,房地(土地+建物),臺中市太平區育仁路31~60號,38.73,其他,,,1081218,土地1建物1車位0,一層，二層，騎樓,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830324,359.46999999999997,3,2,2,有,無,12600000,35052,,0.0,0,,RPTPMLPKJHPFFJB98CA
太平區,房地(土地+建物)+車位,臺中市太平區太順路391~420號,25.32,住,,,1081027,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060707,162.37,3,2,2,有,有,9200000,56661,坡道平面,27.9,0,,RPSQMLPKJHPFFJB98CA
烏日區,房地(土地+建物),臺中市烏日區公園路736巷61~90號,155.41,其他,,,1081216,土地4建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,,84.52,6,2,2,有,無,7850000,92877,,0.0,0,含增建或未登記建物。;,RPRNMLPJKHPFFIB48CA
